# clubelo_20240614.csv — point-in-time club ratings, verbatim clubelo.com free-API CSV response.
# SOURCE: clubelo.com free API, endpoint http://api.clubelo.com/2024-06-14 (no account/key).
#   Accessed 2026-06-10. Snapshot as-of 2024-06-14 for euro2024 (UEFA Euro 2024 opened 2024-06-14).
# clubelo.com terms: free to use, attribution appreciated (recorded in SOURCES.md).
# Point-in-time: the /<YYYY-MM-DD> route returns each club's Elo as-of that date,
#   reflecting ONLY club results known before it (leakage-safe, strictly pre-cutoff).
# Columns are the verbatim clubelo response: Rank,Club,Country,Level,Elo,From,To.
# The build script (scripts/build_squad_z.py) skips '#' lines; the join key is `Club`.
Rank,Club,Country,Level,Elo,From,To
83,Mallorca,ESP,1,1642.41369629,2024-06-02,2024-07-20
84,Verona,ITA,1,1639.8404541,2024-06-02,2024-07-20
85,Anderlecht,BEL,1,1639.73596191,2024-06-02,2024-07-20
86,Union Berlin,GER,1,1639.59411621,2024-06-02,2024-07-20
87,PAOK,GRE,1,1639.20568848,2024-05-30,2024-07-20
88,Celtic,SCO,1,1638.98193359,2024-05-27,2024-07-20
89,Empoli,ITA,1,1638.60705566,2024-05-30,2024-07-20
90,Zenit,RUS,1,1637.47314453,2024-05-30,2024-07-20
91,Braga,POR,1,1635.75927734,2024-05-30,2024-07-25
92,Gent,BEL,1,1634.1505127,2024-06-03,2024-07-25
93,Reims,FRA,1,1633.6229248,2024-06-03,2024-08-04
94,Getafe,ESP,1,1626.93151855,2024-06-03,2024-08-04
95,Twente,NED,1,1626.73474121,2024-06-03,2024-07-25
96,Augsburg,GER,1,1626.43786621,2024-06-03,2024-07-25
97,Midtjylland,DEN,1,1623.94299316,2024-05-27,2024-07-19
98,Ajax,NED,1,1619.48632812,2024-05-30,2024-07-19
99,AEK,GRE,1,1619.46569824,2024-05-30,2024-07-19
100,Lecce,ITA,1,1618.49060059,2024-05-30,2024-07-19
None,Rangers,SCO,1,1617.8104248,2024-05-30,2024-07-25
None,Nordsjaelland,DEN,1,1616.64160156,2024-05-27,2024-07-19
None,M Tel Aviv,ISR,1,1613.71508789,2024-05-26,2024-07-23
None,Rayo Vallecano,ESP,1,1612.1784668,2024-06-02,2024-08-17
None,Cagliari,ITA,1,1611.59204102,2024-05-30,2024-08-18
None,Burnley,ENG,1,1611.26379395,2024-05-20,2024-07-03
None,Frosinone,ITA,1,1610.27258301,2024-05-30,2024-07-03
None,Strasbourg,FRA,1,1608.73596191,2024-05-20,2024-08-06
None,Leeds,ENG,2,1606.81713867,2024-05-27,2024-08-10
None,Koeln,GER,1,1606.55456543,2024-06-02,2024-07-03
None,Shakhtar,UKR,1,1599.63427734,2024-05-26,2024-07-23
None,Southampton,ENG,2,1599.60339355,2024-05-27,2024-07-03
None,Young Boys,SUI,1,1598.90771484,2024-05-26,2024-07-21
None,Espanyol,ESP,2,1598.88330078,2024-06-14,2024-06-16
None,St Pauli,GER,2,1598.63818359,2024-06-02,2024-07-03
None,Bodoe Glimt,NOR,1,1598.21887207,2024-06-03,2024-06-28
None,Bochum,GER,1,1596.98461914,2024-06-02,2024-08-22
None,Karabakh Agdam,AZE,0,1596.77478027,2024-03-15,2024-07-11
None,Duesseldorf,GER,2,1596.37768555,2024-06-02,2024-08-04
None,Sassuolo,ITA,1,1596.24829102,2024-05-30,2024-07-03
None,Sturm Graz,AUT,1,1594.80541992,2024-05-20,2024-07-25
None,Valladolid,ESP,2,1593.77954102,2024-06-03,2024-07-03
None,Cadiz,ESP,1,1590.99645996,2024-06-02,2024-07-03
None,Alkmaar,NED,1,1590.69421387,2024-05-20,2024-07-25
None,Brondby,DEN,1,1590.56237793,2024-05-27,2024-07-21
None,Las Palmas,ESP,1,1588.57495117,2024-06-02,2024-08-16
None,Maccabi Haifa,ISR,1,1586.8013916,2024-05-26,2024-07-23
None,Antwerp,BEL,1,1583.0279541,2024-05-27,2024-07-25
None,Cercle Brugge,BEL,1,1577.49475098,2024-05-27,2024-07-25
None,Genk,BEL,1,1575.50683594,2024-06-03,2024-07-25
None,Holstein,GER,2,1573.51721191,2024-06-02,2024-07-03
None,Viktoria Plzen,CZE,1,1572.04345703,2024-05-27,2024-07-20
None,Parma,ITA,2,1571.97216797,2024-05-30,2024-07-03
None,Hamburg,GER,2,1571.10571289,2024-06-02,2024-08-02
None,Panathinaikos,GRE,1,1570.89807129,2024-05-30,2024-07-24
None,Ipswich,ENG,2,1568.32556152,2024-05-10,2024-07-03
None,Oviedo,ESP,2,1567.19140625,2024-06-13,2024-06-16
None,Eibar,ESP,2,1567.18664551,2024-06-13,2024-08-17
None,Leganes,ESP,2,1566.73596191,2024-06-03,2024-07-03
None,Venezia,ITA,2,1565.5637207,2024-06-03,2024-07-03
None,Luton,ENG,1,1563.97265625,2024-05-20,2024-07-03
None,Dinamo Zagreb,CRO,1,1562.52587891,2024-05-27,2024-07-25
None,Almeria,ESP,1,1559.73291016,2024-06-02,2024-07-03
None,Lorient,FRA,1,1558.77148438,2024-05-20,2024-07-03
None,Guimaraes,POR,1,1558.66723633,2024-05-19,2024-07-25
None,Auxerre,FRA,2,1558.64770508,2024-05-18,2024-07-03
None,Crvena Zvezda,SRB,1,1558.24157715,2024-05-26,2024-07-20
None,Lok Moskva,RUS,1,1557.65917969,2024-05-26,2024-07-20
None,CSKA Moskva,RUS,1,1556.83203125,2024-05-26,2024-07-20
None,Levante,ESP,2,1553.99157715,2024-06-03,2024-08-18
None,FC Krasnodar,RUS,1,1552.47021484,2024-05-26,2024-07-21
None,Cremonese,ITA,2,1551.0949707,2024-06-03,2024-08-18
None,Como,ITA,2,1545.97338867,2024-05-30,2024-07-03
None,Le Havre,FRA,1,1542.11987305,2024-05-20,2024-08-06
None,Karlsruhe,GER,2,1541.93493652,2024-06-02,2024-08-03
None,Nantes,FRA,1,1541.51818848,2024-05-20,2024-08-06
None,Granada,ESP,1,1541.32678223,2024-06-02,2024-07-03
None,Spartak Moskva,RUS,1,1541.27478027,2024-05-26,2024-07-21
None,Clermont,FRA,1,1538.69848633,2024-05-20,2024-07-03
None,Metz,FRA,1,1536.86694336,2024-05-20,2024-07-03
None,Middlesbrough,ENG,2,1534.9263916,2024-05-10,2024-08-10
None,Salernitana,ITA,1,1531.0111084,2024-05-30,2024-07-03
None,Bueyueksehir,TUR,1,1530.33972168,2024-05-27,2024-07-23
None,Dynamo Moskva,RUS,1,1529.61828613,2024-05-26,2024-07-20
None,West Brom,ENG,2,1523.57080078,2024-05-18,2024-08-10
None,Hertha,GER,2,1522.59765625,2024-06-02,2024-08-03
None,Utrecht,NED,1,1522.36181641,2024-05-27,2024-07-25
None,Mechelen,BEL,1,1520.93017578,2024-05-26,2024-07-25
None,Trabzonspor,TUR,1,1518.85791016,2024-05-27,2024-07-23
None,Molde,NOR,1,1518.01879883,2024-06-03,2024-06-28
None,Sheffield United,ENG,1,1517.16918945,2024-05-20,2024-07-03
None,Dynamo Kyiv,UKR,1,1517.05688477,2024-05-26,2024-07-23
None,Santander,ESP,2,1516.79187012,2024-06-03,2024-08-18
None,Norwich,ENG,2,1513.94689941,2024-05-17,2024-08-10
None,Razgrad,BUL,1,1512.65661621,2024-05-27,2024-07-10
None,Saint-Etienne,FRA,2,1510.51513672,2024-05-25,2024-07-03
None,Paderborn,GER,2,1510.09289551,2024-06-02,2024-08-03
None,LASK,AUT,1,1509.67016602,2024-05-20,2024-07-25
None,Nijmegen,NED,1,1507.76342773,2024-05-24,2024-07-25
None,Sampdoria,ITA,2,1507.04284668,2024-05-30,2024-08-18
None,Aarhus,DEN,1,1504.84741211,2024-05-27,2024-07-19
None,Gijon,ESP,2,1504.77783203,2024-06-14,2024-08-18
None,Servette,SUI,1,1503.93774414,2024-05-26,2024-07-21
None,Schalke,GER,2,1502.74731445,2024-06-02,2024-08-03
None,Hannover,GER,2,1502.55773926,2024-06-02,2024-08-03
None,Sparta Rotterdam,NED,1,1501.38562012,2024-05-24,2024-07-25
None,Huesca,ESP,2,1500.49633789,2024-06-03,2024-08-18
None,Elche,ESP,2,1500.12634277,2024-06-03,2024-08-18
None,Arouca,POR,1,1500.0949707,2024-05-19,2024-07-25
None,Tenerife,ESP,2,1499.10803223,2024-06-03,2024-08-19
None,Darmstadt,GER,1,1497.87158203,2024-06-02,2024-07-03
None,Hull,ENG,2,1497.24401855,2024-05-10,2024-08-10
None,Coventry,ENG,2,1494.5847168,2024-05-10,2024-08-10
None,Malmoe,SWE,1,1492.80493164,2024-06-02,2024-07-07
None,Lugano,SUI,1,1492.58483887,2024-05-26,2024-07-20
None,Albacete,ESP,2,1490.60827637,2024-06-03,2024-08-15
None,St Truiden,BEL,1,1487.18432617,2024-05-26,2024-07-25
None,Besiktas,TUR,1,1484.18811035,2024-05-27,2024-07-23
None,Burgos,ESP,2,1483.99572754,2024-06-03,2024-08-18
None,Zaragoza,ESP,2,1483.93005371,2024-06-03,2024-08-16
None,Charleroi,BEL,1,1482.10620117,2024-05-12,2024-07-25
None,Leuven,BEL,1,1480.81665039,2024-05-26,2024-07-25
None,Ferencvaros,HUN,1,1479.38684082,2024-05-20,2024-07-11
None,Rostov,RUS,1,1478.73327637,2024-05-26,2024-07-20
None,Moreirense,POR,1,1478.42346191,2024-05-19,2024-07-25
None,Larnaca,CYP,0,1477.84204102,2024-01-01,2024-07-11
None,Famalicao,POR,1,1477.84082031,2024-05-18,2024-07-25
None,Spezia,ITA,2,1477.34448242,2024-05-30,2024-08-17
None,Swansea,ENG,2,1477.21557617,2024-05-10,2024-08-10
None,Zuerich,SUI,1,1476.77172852,2024-05-26,2024-07-20
None,Legia,POL,1,1475.45202637,2024-05-26,2024-07-11
None,Fuerth,GER,2,1475.2142334,2024-06-02,2024-08-04
None,Angers,FRA,2,1474.5690918,2024-05-18,2024-07-03
None,Paris FC,FRA,2,1474.05786133,2024-05-22,2024-08-06
None,Cartagena,ESP,2,1473.94946289,2024-06-03,2024-08-18
None,Bristol City,ENG,2,1471.11096191,2024-05-10,2024-08-10
None,Catanzaro,ITA,2,1470.7532959,2024-05-30,2024-08-18
None,Rapid Wien,AUT,1,1470.17041016,2024-05-20,2024-07-25
None,Go Ahead Eagles,NED,1,1470.1673584,2024-05-27,2024-07-25
None,Palermo,ITA,2,1470.13464355,2024-05-30,2024-08-16
None,Aris,GRE,1,1468.45849609,2024-05-30,2024-07-24
None,Brann,NOR,1,1466.12036133,2024-06-02,2024-06-28
None,Watford,ENG,2,1465.54150391,2024-05-10,2024-08-10
None,Rakow,POL,1,1465.32385254,2024-05-26,2024-07-11
None,Millwall,ENG,2,1464.27624512,2024-05-10,2024-08-10
None,Stoke,ENG,2,1461.18151855,2024-05-10,2024-08-10
None,Mirandes,ESP,2,1460.97253418,2024-06-03,2024-08-16
None,Hajduk,CRO,1,1460.4029541,2024-05-26,2024-07-25
None,Suedtirol,ITA,2,1460.36193848,2024-05-30,2024-08-17
None,StGallen,SUI,1,1459.50476074,2024-05-26,2024-07-20
None,Rio Ave,POR,1,1458.77514648,2024-05-18,2024-07-25
None,Ferrol,ESP,2,1457.390625,2024-06-03,2024-08-17
None,Alanyaspor,TUR,1,1455.08398438,2024-05-25,2024-07-23
None,Sheriff Tiraspol,MOL,0,1453.16015625,2024-01-01,2024-07-10
None,Cosenza,ITA,2,1452.22229004,2024-05-30,2024-08-18
None,Pogon,POL,1,1452.16357422,2024-05-26,2024-07-11
None,Caen,FRA,2,1451.84423828,2024-05-18,2024-08-06
None,Lech,POL,1,1451.54589844,2024-05-26,2024-07-11
None,Jagiellonia,POL,1,1451.28222656,2024-05-26,2024-07-11
None,Pisa,ITA,2,1450.78869629,2024-05-30,2024-08-17
None,Silkeborg,DEN,1,1450.4354248,2024-05-27,2024-07-21
None,Brescia,ITA,2,1450.17407227,2024-05-30,2024-08-16
None,Rodez,FRA,2,1450.04309082,2024-05-25,2024-08-06
None,QPR,ENG,2,1449.0760498,2024-05-10,2024-08-10
None,Viborg,DEN,1,1449.0411377,2024-05-26,2024-07-21
None,Beer-Sheva,ISR,1,1448.65771484,2024-05-26,2024-07-23
None,Sheffield Weds,ENG,2,1448.48132324,2024-05-10,2024-08-11
None,Blackburn,ENG,2,1448.36901855,2024-05-10,2024-08-09
None,Bari,ITA,2,1448.11755371,2024-05-30,2024-08-17
None,Rijeka,CRO,1,1446.96203613,2024-05-27,2024-07-25
None,Sivasspor,TUR,1,1445.94311523,2024-05-26,2024-07-23
None,Austria Wien,AUT,1,1445.67382812,2024-05-29,2024-07-25
None,Randers,DEN,1,1445.26293945,2024-06-01,2024-07-21
None,Preston,ENG,2,1444.33605957,2024-05-10,2024-08-09
None,Amorebieta,ESP,2,1443.33618164,2024-06-03,2024-07-05
None,Bordeaux,FRA,2,1442.8605957,2024-05-18,2024-07-05
None,Andorra CF,ESP,2,1441.33825684,2024-06-03,2024-07-05
None,Ascoli,ITA,2,1440.9296875,2024-05-30,2024-07-05
None,Slask,POL,1,1440.79284668,2024-05-26,2024-07-11
None,Standard,BEL,1,1440.56054688,2024-05-26,2024-07-25
None,Aris Limassol,CYP,0,1438.81201172,2024-01-01,2024-07-05
None,APOEL,CYP,0,1438.05908203,2024-01-01,2024-07-11
None,Omonia,CYP,0,1437.73376465,2024-01-01,2024-07-11
None,CFR Cluj,ROM,1,1437.39428711,2024-05-19,2024-07-09
None,Kasimpasa,TUR,1,1437.0970459,2024-05-27,2024-07-23
None,Eldense,ESP,2,1437.06396484,2024-06-03,2024-08-19
None,Gil Vicente,POR,1,1436.2401123,2024-05-19,2024-07-25
None,Sunderland,ENG,2,1434.69873047,2024-05-10,2024-08-10
None,Modena,ITA,2,1434.65075684,2024-05-30,2024-08-17
None,Lautern,GER,2,1434.19714355,2024-06-02,2024-08-04
None,Steaua,ROM,1,1433.63061523,2024-05-20,2024-07-09
None,Basel,SUI,1,1433.5435791,2024-05-22,2024-07-21
None,Terek Grozny,RUS,1,1433.41430664,2024-05-26,2024-07-21
None,Viking,NOR,1,1433.28039551,2024-06-03,2024-06-30
None,Westerlo,BEL,1,1431.91186523,2024-05-26,2024-07-25
None,Casa Pia,POR,1,1429.75512695,2024-05-18,2024-07-25
None,Konyaspor,TUR,1,1429.57470703,2024-05-27,2024-07-23
None,Kryliya Sovetov,RUS,1,1428.88513184,2024-05-26,2024-07-20
None,Orenburg,RUS,1,1428.72033691,2024-05-26,2024-07-21
None,Rubin Kazan,RUS,1,1428.33166504,2024-05-26,2024-07-22
None,Alcorcon,ESP,2,1426.58813477,2024-06-03,2024-07-05
None,Banik Ostrava,CZE,1,1426.37695312,2024-05-27,2024-07-20
None,Hearts,SCO,1,1425.30541992,2024-05-19,2024-07-25
None,Guingamp,FRA,2,1422.97766113,2024-05-18,2024-08-06
None,Bastia,FRA,2,1420.98156738,2024-05-18,2024-08-06
None,Cittadella,ITA,2,1420.96765137,2024-05-30,2024-08-17
None,Villarreal B,ESP,2,1420.74633789,2024-06-03,2024-07-05
None,Magdeburg,GER,2,1419.41174316,2024-06-02,2024-08-03
None,Fatih Karaguemruek,TUR,1,1417.94287109,2024-05-26,2024-07-05
None,Adana Demirspor,TUR,1,1417.78308105,2024-05-27,2024-07-23
None,Heerenveen,NED,1,1417.76184082,2024-05-20,2024-07-25
None,Reggiana,ITA,2,1416.83911133,2024-05-30,2024-08-18
None,Amiens,FRA,2,1416.72839355,2024-05-18,2024-08-06
None,Djurgarden,SWE,1,1416.40856934,2024-06-03,2024-07-08
None,Osijek,CRO,1,1415.69396973,2024-05-26,2024-07-25
None,Troyes,FRA,2,1413.05212402,2024-05-18,2024-08-06
None,Ternana,ITA,2,1413.0213623,2024-05-30,2024-07-05
None,Farense,POR,1,1411.90844727,2024-05-19,2024-07-25
None,Plymouth,ENG,2,1410.80383301,2024-05-10,2024-08-11
None,Slovacko,CZE,1,1408.46533203,2024-05-27,2024-07-21
None,Nuernberg,GER,2,1408.41052246,2024-06-02,2024-08-03
None,Piast Gliwice,POL,1,1407.77819824,2024-05-26,2024-07-11
None,Gornik,POL,1,1406.81494141,2024-05-26,2024-07-11
None,Birmingham,ENG,2,1406.68994141,2024-05-10,2024-07-05
None,Antalyaspor,TUR,1,1406.38476562,2024-05-25,2024-07-23
None,Odense,DEN,1,1406.15490723,2024-05-26,2024-07-05
None,Cardiff,ENG,2,1405.44506836,2024-05-10,2024-08-10
None,Craiova,ROM,1,1404.02001953,2024-05-27,2024-07-09
None,Hammarby,SWE,1,1403.94299316,2024-06-03,2024-07-07
None,Hradec Kralove,CZE,1,1403.56933594,2024-06-01,2024-07-21
None,Annecy,FRA,2,1403.2052002,2024-05-18,2024-08-06
None,Elfsborg,SWE,1,1403.16674805,2024-06-02,2024-07-06
None,Braunschweig,GER,2,1403.13928223,2024-06-02,2024-08-03
None,Hartberg,AUT,1,1403.10168457,2024-05-29,2024-07-25
None,Tromso,NOR,1,1402.75195312,2024-06-03,2024-06-28
None,Mlada Boleslav,CZE,1,1400.90368652,2024-06-01,2024-07-20
None,Pau,FRA,2,1400.68859863,2024-05-18,2024-08-06
None,Estoril,POR,1,1400.17907715,2024-05-19,2024-07-25
None,Vejle,DEN,1,1400.00012207,2024-05-26,2024-07-21
None,Sochi,RUS,1,1399.95483398,2024-05-26,2024-07-05
None,Fakel Voronezh,RUS,1,1398.16687012,2024-05-26,2024-07-20
None,Boavista,POR,1,1398.12109375,2024-05-19,2024-07-25
None,Wolfsberg,AUT,1,1397.84204102,2024-05-22,2024-07-25
None,Luzern,SUI,1,1396.82470703,2024-05-22,2024-07-21
None,Elversberg,GER,2,1396.53063965,2024-06-02,2024-08-03
None,Zwolle,NED,1,1395.24719238,2024-05-20,2024-07-25
None,Huddersfield,ENG,2,1395.12207031,2024-05-10,2024-07-05
None,Sittard,NED,1,1394.77819824,2024-05-20,2024-07-25
None,Sverdlovsk,RUS,1,1391.30004883,2024-05-26,2024-07-05
None,Cherno More,BUL,1,1389.53686523,2024-05-27,2024-07-10
None,Waalwijk,NED,1,1388.47570801,2024-05-20,2024-07-25
None,Hapoel Haifa,ISR,1,1387.26062012,2024-05-26,2024-07-23
None,Dnipro,UKR,1,1386.74267578,2024-05-26,2024-07-05
None,Klagenfurt,AUT,1,1386.57824707,2024-05-20,2024-07-25
None,Estrela Amadora,POR,1,1386.44616699,2024-05-19,2024-07-25
None,US Quevilly,FRA,2,1385.9786377,2024-05-18,2024-07-05
None,Lyngby,DEN,1,1384.24462891,2024-05-26,2024-07-22
None,CSKA Sofia,BUL,1,1383.94592285,2024-06-01,2024-07-10
None,Rosenborg,NOR,1,1382.65368652,2024-06-03,2024-06-30
None,Grenoble,FRA,2,1381.84887695,2024-05-18,2024-08-06
None,Haecken,SWE,1,1381.66296387,2024-06-03,2024-07-08
None,Ankaraguecue,TUR,1,1379.17932129,2024-05-27,2024-07-05
None,Ajaccio,FRA,2,1379.14282227,2024-05-18,2024-08-06
None,Almere,NED,1,1377.86914062,2024-05-20,2024-07-25
None,Maribor,SVN,1,1377.7253418,2024-05-20,2024-07-10
None,Levski,BUL,1,1377.63171387,2024-05-27,2024-07-10
None,Laval,FRA,2,1377.38232422,2024-05-18,2024-08-06
None,Slovan Liberec,CZE,1,1376.61071777,2024-05-13,2024-07-21
None,Portimonense,POR,1,1374.73120117,2024-05-19,2024-07-05
None,Stromsgodset,NOR,1,1374.49255371,2024-06-03,2024-06-28
None,Cracovia,POL,1,1374.46386719,2024-05-26,2024-07-11
None,Kayseri,TUR,1,1373.24682617,2024-05-26,2024-07-23
None,Baltika,RUS,1,1373.01513672,2024-05-26,2024-07-05
None,Celje,SVN,1,1372.31152344,2024-05-19,2024-07-10
None,Gaziantep FK,TUR,1,1372.10107422,2024-05-27,2024-07-23
None,Feralpisalo,ITA,2,1372.08325195,2024-05-30,2024-07-05
None,Lubin,POL,1,1372.07946777,2024-05-26,2024-07-11
None,Winterthur,SUI,1,1372.06054688,2024-05-26,2024-07-20
None,Lausanne,SUI,1,1371.28088379,2024-05-22,2024-07-21
None,Puskas Akademia,HUN,1,1370.26037598,2024-05-19,2024-07-11
None,Vizela,POR,1,1368.49206543,2024-05-19,2024-07-05
None,Partizan,SRB,1,1367.62756348,2024-05-26,2024-07-19
None,Rizespor,TUR,1,1367.07421875,2024-05-27,2024-07-23
None,Slovan Bratislava,SLK,0,1366.45996094,2024-02-23,2024-07-10
None,Lok Zagreb,CRO,1,1366.16369629,2024-05-26,2024-07-25
None,Trnava,SLK,0,1365.51391602,2024-02-23,2024-07-10
None,Kortrijk,BEL,1,1364.04602051,2024-05-12,2024-07-25
None,Vitesse,NED,1,1363.62341309,2024-05-20,2024-07-05
None,Samsunspor,TUR,1,1361.96386719,2024-05-26,2024-07-23
None,Lillestrom,NOR,1,1360.57019043,2024-06-03,2024-06-27
None,Grasshoppers,SUI,1,1360.49060059,2024-05-22,2024-07-20
None,Wehen,GER,2,1360.30773926,2024-06-02,2024-07-05
None,Jablonec,CZE,1,1359.31542969,2024-05-26,2024-07-20
None,Rostock,GER,2,1359.14282227,2024-06-02,2024-07-05
None,Sigma Olomouc,CZE,1,1358.41381836,2024-05-13,2024-07-20
None,Zilina,SLK,0,1358.07556152,2024-02-23,2024-07-05
None,Chaves,POR,1,1356.13684082,2024-05-19,2024-07-05
None,Heracles,NED,1,1354.70581055,2024-05-20,2024-07-25
None,Dunkerque,FRA,2,1354.37121582,2024-05-18,2024-08-06
None,Zorya,UKR,1,1353.49353027,2024-05-26,2024-07-23
None,Neftchi,AZE,0,1353.19946289,2024-03-15,2024-07-05
